Region,Time Series,PSDs,Freqs
Frontal,"[-0.14956267 -0.94181096 -2.42251076 ...  0.61097576  0.13079957
  0.12899399]",135.24468141800622,"[0.00000000e+00 5.59722378e-03 1.11944476e-02 ... 9.99888056e+01
 9.99944028e+01 1.00000000e+02]"
Central,"[ 0.01517495 -0.39044246 -1.49685887 ...  1.78732956  0.93157743
  0.23295521]",136.27918911678972,"[0.00000000e+00 5.59722378e-03 1.11944476e-02 ... 9.99888056e+01
 9.99944028e+01 1.00000000e+02]"
Parietal,"[-0.48335231 -0.79738801 -1.04560108 ...  2.0977625   1.27452101
  0.29608079]",136.73222447727915,"[0.00000000e+00 5.59722378e-03 1.11944476e-02 ... 9.99888056e+01
 9.99944028e+01 1.00000000e+02]"
Occipital,"[ 0.27961145  1.01289386  2.94443536 ... -2.51707703 -1.29977535
 -0.7421975 ]",136.33629099715884,"[0.00000000e+00 5.59722378e-03 1.11944476e-02 ... 9.99888056e+01
 9.99944028e+01 1.00000000e+02]"
Temporal,"[ 0.31862686  1.50018466  3.4327777  ... -1.60047101 -0.64936085
 -0.08691027]",137.48906147557847,"[0.00000000e+00 5.59722378e-03 1.11944476e-02 ... 9.99888056e+01
 9.99944028e+01 1.00000000e+02]"
,,
